frame,pdm_left_bm2,pdm_right_bm1
0,643,643
1,649,649
2,640,640
3,626,626
4,642,642
5,637,637
6,638,638
7,646,646
8,638,638
9,649,649
10,642,642
11,644,644
12,611,611
13,613,613
14,629,629
15,617,617
16,620,620
17,626,626
18,634,634
19,631,631
20,628,628
21,635,635
22,640,640
23,640,640
24,638,638
25,637,637
26,635,635
27,638,638
28,638,638
29,638,638
30,639,639
31,645,645
32,635,635
33,639,639
34,633,633
35,636,636
36,638,638
37,639,639
38,643,643
39,641,641
40,655,655
41,644,644
42,640,640
43,630,630
44,643,643
45,632,632
46,630,630
47,642,642
48,641,641
49,632,632
50,639,639
51,633,633
52,634,634
53,627,627
54,635,635
55,635,635
56,638,638
57,637,637
58,635,635
59,629,629
60,645,645
61,641,641
62,631,631
63,635,635
64,633,633
65,636,636
66,633,633
67,641,641
68,640,640
69,636,636
70,634,634
71,642,642
72,640,640
73,641,641
74,640,640
75,634,634
76,641,641
77,643,643
78,642,642
79,644,644
80,634,634
81,634,634
82,636,636
83,634,634
84,631,631
85,629,629
86,634,634
87,636,636
88,642,642
89,628,628
90,637,637
91,641,641
92,637,637
93,640,640
94,638,638
95,634,634
96,639,639
97,629,629
98,630,630
99,633,633
100,636,636
101,633,633
102,633,633
103,631,631
104,639,639
105,636,636
106,638,638
107,627,627
108,635,635
109,642,642
110,634,634
111,639,639
112,641,641
113,631,631
114,645,645
115,641,641
116,643,643
117,648,648
118,627,627
119,637,637
120,641,641
121,638,638
122,638,638
123,645,645
124,646,646
125,642,642
126,636,636
127,636,636
128,648,648
129,640,640
130,646,646
131,633,633
132,634,634
133,625,625
134,636,636
135,639,639
136,636,636
137,641,641
138,638,638
139,629,629
140,629,629
141,640,640
142,640,640
143,629,629
144,633,633
145,635,635
146,632,632
147,633,633
148,630,630
149,633,633
150,637,637
151,639,639
152,630,630
153,634,634
154,636,636
155,622,622
156,624,624
157,638,638
158,639,639
159,633,633
160,633,633
161,634,634
162,635,635
163,634,634
164,636,636
165,642,642
166,632,632
167,637,637
168,633,633
169,637,637
170,627,627
171,630,630
172,630,630
173,635,635
174,636,636
175,636,636
176,636,636
177,640,640
178,630,630
179,647,647
180,639,639
181,640,640
182,642,642
183,630,630
184,635,635
185,639,639
186,639,639
187,646,646
188,641,641
189,639,639
190,631,631
191,637,637
192,631,631
193,636,636
194,632,632
195,637,637
196,631,631
197,642,642
198,634,634
199,651,651
200,644,644
201,649,649
202,645,645
203,645,645
204,644,644
205,633,633
206,639,639
207,641,641
208,638,638
209,635,635
210,638,638
211,638,638
212,634,634
213,637,637
214,636,636
215,640,640
216,638,638
217,642,642
218,637,637
219,638,638
220,632,632
221,637,637
222,630,630
223,636,636
224,633,633
225,632,632
226,638,638
227,638,638
228,637,637
229,625,625
230,628,628
231,635,635
232,646,646
233,640,640
234,642,642
235,637,637
236,633,633
237,626,626
238,631,631
239,627,627
240,628,628
241,631,631
242,620,620
243,635,635
244,636,636
245,631,631
246,639,639
247,636,636
248,633,633
249,623,623
250,627,627
251,634,634
252,623,623
253,632,632
254,628,628
255,641,641
